Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,,68,-73,0,top
,,,119,-73,90,top
,,,119,-39,0,top
,,,67,-39,0,top
,,,93,-73,90,top
,,,93,-107,0,top
,,,93,-39,0,top
,,,93,-44,90,top
,,,93,-73,0,top
,,,119,-107,0,top
,,,68,-107,0,top
,,,93,-102,0,top
C1,1p,C_0402_1005Metric,75.5,-60.8,180,top
C2,100p,C_0402_1005Metric,76,-62.3,-90,top
C3,120p,C_0402_1005Metric,81.7,-63.7,90,top
C4,100p,C_0402_1005Metric,80.7,-69.6,0,top
C5,470p,C_0402_1005Metric,79.1,-66.1,0,top
C6,1p,C_0402_1005Metric,109.5,-60.8,180,top
C7,100p,C_0402_1005Metric,110,-62.3,-90,top
C8,120p,C_0402_1005Metric,115.7,-63.7,90,top
C9,100p,C_0402_1005Metric,114.7,-69.6,0,top
C10,470p,C_0402_1005Metric,113.1,-66.1,0,top
C16,1p,C_0402_1005Metric,75.5,-94.8,180,top
C17,100p,C_0402_1005Metric,76,-96.3,-90,top
C18,120p,C_0402_1005Metric,81.7,-97.7,90,top
C19,100p,C_0402_1005Metric,80.7,-103.6,0,top
C20,470p,C_0402_1005Metric,79.1,-100.1,0,top
C21,1p,C_0402_1005Metric,109.5,-94.8,180,top
C22,100p,C_0402_1005Metric,110,-96.3,-90,top
C23,120p,C_0402_1005Metric,115.7,-97.7,90,top
C24,100p,C_0402_1005Metric,114.7,-103.6,0,top
C25,470p,C_0402_1005Metric,113.1,-100.1,0,top
FL1,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,81.913,-66.188,90,top
FL2,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,115.913,-66.188,90,top
FL4,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,81.913,-100.188,90,top
FL5,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,115.913,-100.188,90,top
IC1,TESEO-LIV3F,SON110P970X1010X230-18N,85,-57,-90,top
IC3,MAX2641EUT+T,SOT95P280X145-6N,77.3,-68.6,0,top
IC4,TESEO-LIV3F,SON110P970X1010X230-18N,119,-57,-90,top
IC6,MAX2641EUT+T,SOT95P280X145-6N,111.3,-68.6,0,top
IC10,TESEO-LIV3F,SON110P970X1010X230-18N,85,-91,-90,top
IC12,MAX2641EUT+T,SOT95P280X145-6N,77.3,-102.6,0,top
IC13,TESEO-LIV3F,SON110P970X1010X230-18N,119,-91,-90,top
IC15,MAX2641EUT+T,SOT95P280X145-6N,111.3,-102.6,0,top
J1,Conn_01x05_Male,PinHeader_1x05_P2.00mm_Vertical,89.1,-48.9,-90,top
J2,I2C,PinHeader_1x02_P2.00mm_Vertical,88.2,-64.9,-90,top
J3,Conn_01x05_Male,PinHeader_1x05_P2.00mm_Vertical,123.1,-48.9,-90,top
J4,I2C,PinHeader_1x02_P2.00mm_Vertical,122.2,-64.9,-90,top
J7,Conn_01x05_Male,PinHeader_1x05_P2.00mm_Vertical,89.1,-82.9,-90,top
J8,I2C,PinHeader_1x02_P2.00mm_Vertical,88.2,-98.9,-90,top
J9,Conn_01x05_Male,PinHeader_1x05_P2.00mm_Vertical,123.1,-82.9,-90,top
J10,I2C,PinHeader_1x02_P2.00mm_Vertical,122.2,-98.9,-90,top
L1,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,76,-65,-90,top
L2,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,83.6,-69.5,0,top
L3,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,110,-65,-90,top
L4,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.6,-69.5,0,top
L7,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,76,-99,-90,top
L8,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,83.6,-103.5,0,top
L9,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,110,-99,-90,top
L10,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.6,-103.5,0,top
U1,CR1025,CR1025_Holder,63.65,-54.880338,0,top
U2,CR1025,CR1025_Holder,97.65,-54.880338,0,top
U4,CR1025,CR1025_Holder,63.65,-88.880338,0,top
U5,CR1025,CR1025_Holder,97.65,-88.880338,0,top
